,taxon_name_w_authors,v10_11_12_13_14_15_accepted_name_w_author,v16_taxon_name_w_authors,v16_chained_accepted_name_w_author,v16_chained_accepted_species,v16_direct_accepted_name_w_author,v16_direct_accepted_species
367636,Pyrus malus var. dasyphylla (Borkh.) Gremli,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica,Malus × dasyphylla Borkh.,Malus × dasyphylla
367638,Pyrus malus proles dasyphylla (Borkh.) Asch. & Graebn.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica,Malus × dasyphylla Borkh.,Malus × dasyphylla
367659,Malus pumila var. dasyphylla (Borkh.) Koidz.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica,Malus × dasyphylla Borkh.,Malus × dasyphylla
367694,Malus sieversii var. kirghisorum (Al.Fed. & Fed.) Ponomar.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica,Malus kirghisorum Al.Fed. & Fed.,Malus kirghisorum
367716,Malus sylvestris subsp. mitis (Wallr.) Mansf.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica,Malus × dasyphylla Borkh.,Malus × dasyphylla
367718,Malus sylvestris var. dasyphylla (Borkh.) Ponomar.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica,Malus × dasyphylla Borkh.,Malus × dasyphylla
367732,Malus communis subsp. dasyphylla (Borkh.) Dippel,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica,Malus × dasyphylla Borkh.,Malus × dasyphylla
367746,Pyrus kirghisorum (Al.Fed. & Fed.) M.F.Fay & Christenh.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica,Malus kirghisorum Al.Fed. & Fed.,Malus kirghisorum
367791,Malus komarovii var. funiushanensis S.Y.Wang,Malus komarovii (Sarg.) Rehder,Malus komarovii (Sarg.) Rehder,Malus komarovii (Sarg.) Rehder,Malus komarovii,Malus kansuensis (Batalin) C.K.Schneid.,Malus kansuensis
367812,Malus × purpurea var. eleyi (Bean) Rehder,Malus × purpurea (A.Barbier) Rehder,Malus × purpurea (A.Barbier) Rehder,Malus × purpurea (A.Barbier) Rehder,Malus × purpurea,Malus × magdeburgensis Hartwig,Malus × magdeburgensis
367813,Malus × purpurea f. eleyi (Bean) Rehder,Malus × purpurea (A.Barbier) Rehder,Malus × purpurea (A.Barbier) Rehder,Malus × purpurea (A.Barbier) Rehder,Malus × purpurea,Malus × magdeburgensis Hartwig,Malus × magdeburgensis
368060,Potentilla multifida var. pitensis Hyl.,Drymocallis arguta (Pursh) Rydb.,Drymocallis arguta (Pursh) Rydb.,Drymocallis arguta (Pursh) Rydb.,Drymocallis arguta,Potentilla arctica Rouy,Potentilla arctica
368061,Potentilla multifida var. lapponica F.Nyl.,Drymocallis arguta (Pursh) Rydb.,Drymocallis arguta (Pursh) Rydb.,Drymocallis arguta (Pursh) Rydb.,Drymocallis arguta,Potentilla arctica Rouy,Potentilla arctica
368062,Potentilla multifida proles lapponica (F.Nyl.) Th.Wolf,Drymocallis arguta (Pursh) Rydb.,Drymocallis arguta (Pursh) Rydb.,Drymocallis arguta (Pursh) Rydb.,Drymocallis arguta,Potentilla arctica Rouy,Potentilla arctica
368063,Potentilla multifida var. lulensis Hyl.,Drymocallis arguta (Pursh) Rydb.,Drymocallis arguta (Pursh) Rydb.,Drymocallis arguta (Pursh) Rydb.,Drymocallis arguta,Potentilla arctica Rouy,Potentilla arctica
368064,Potentilla lapponica (F.Nyl.) Juz.,Drymocallis arguta (Pursh) Rydb.,Drymocallis arguta (Pursh) Rydb.,Drymocallis arguta (Pursh) Rydb.,Drymocallis arguta,Potentilla arctica Rouy,Potentilla arctica
368176,Potentilla arenaria var. tommasiniana (F.W.Schultz) Th.Wolf,Potentilla cinerea Chaix ex Vill.,Potentilla cinerea Chaix ex Vill.,Potentilla cinerea Chaix ex Vill.,Potentilla cinerea,Potentilla tommasiniana F.W.Schultz,Potentilla tommasiniana
368182,Potentilla clementei Jord.,Potentilla cinerea Chaix ex Vill.,Potentilla cinerea Chaix ex Vill.,Potentilla cinerea Chaix ex Vill.,Potentilla cinerea,Potentilla velutina Lehm.,Potentilla velutina
368205,Potentilla subacaulis L.,Potentilla cinerea Chaix ex Vill.,Potentilla cinerea Chaix ex Vill.,Potentilla cinerea Chaix ex Vill.,Potentilla cinerea,Potentilla acaulis L.,Potentilla acaulis
368217,Potentilla incana (Lam.) Zimmeter,Potentilla cinerea Chaix ex Vill.,Potentilla cinerea Chaix ex Vill.,Potentilla cinerea Chaix ex Vill.,Potentilla cinerea,Potentilla velutina Lehm.,Potentilla velutina
368222,Fragaria incana Lam.,Potentilla cinerea Chaix ex Vill.,Potentilla cinerea Chaix ex Vill.,Potentilla cinerea Chaix ex Vill.,Potentilla cinerea,Potentilla velutina Lehm.,Potentilla velutina
368411,Potentilla indiges M.Peck,Potentilla gracilis var. fastigiata (Nutt.) S.Watson,Potentilla gracilis var. fastigiata (Nutt.) S.Watson,Potentilla gracilis var. fastigiata (Nutt.) S.Watson,Potentilla gracilis,Potentilla gracilis var. indiges (M.Peck) Ertter & N.M.House,Potentilla gracilis
368512,Potentilla adscendens var. oligotricha (Borbás ex Zimmeter) Soó,Potentilla inclinata Vill.,Potentilla inclinata Vill.,Potentilla inclinata Vill.,Potentilla inclinata,Potentilla patula Waldst. & Kit.,Potentilla patula
368625,Potentilla schultzii P.J.Müll. ex F.W.Schultz,Potentilla leucopolitana P.J.Müll.,Potentilla leucopolitana P.J.Müll.,Potentilla leucopolitana P.J.Müll.,Potentilla leucopolitana,Potentilla schultzii P.J.Müll. ex F.W.Schultz,Potentilla schultzii
368676,Potentilla millefolia var. algida Jeps.,Potentilla millefolia Rydb.,Potentilla millefolia Rydb.,Potentilla millefolia Rydb.,Potentilla millefolia,Potentilla norrelmukana DiNicola & Ertter,Potentilla norrelmukana
368742,Potentilla arctica Rouy,Potentilla multifida L.,Potentilla multifida L.,Potentilla multifida L.,Potentilla multifida,Potentilla arctica Rouy,Potentilla arctica
368831,Potentilla nivea var. dissecta S.Watson,Potentilla nivea L.,Potentilla nivea L.,Potentilla nivea L.,Potentilla nivea,Potentilla rubricaulis Lehm.,Potentilla rubricaulis
368921,Potentilla pedata var. laciniosa (Waldst. & Kit. ex Nestl.) Velen.,Potentilla pedata Willd. ex Hornem.,Potentilla pedata Willd. ex Hornem.,Potentilla pedata Willd. ex Hornem.,Potentilla pedata,Potentilla recta subsp. laciniosa (Waldst. & Kit. ex Nestl.) Nyman,Potentilla recta
369022,Potentilla recta proles obscura (Willd.) Hayek,Potentilla recta L.,Potentilla recta L.,Potentilla recta L.,Potentilla recta,Potentilla recta subsp. obscura (Willd.) Arcang.,Potentilla recta
369024,Potentilla recta proles sulphurea (Lam.) Hayek,Potentilla recta L.,Potentilla recta L.,Potentilla recta L.,Potentilla recta,Potentilla recta subsp. recta,Potentilla recta
369026,Potentilla crassa f. castrilensis Degen & Hervier,Potentilla recta L.,Potentilla recta L.,Potentilla recta L.,Potentilla recta,Potentilla recta subsp. recta,Potentilla recta
369029,Potentilla asturica var. pseudovelutina Losa,Potentilla recta L.,Potentilla recta L.,Potentilla recta L.,Potentilla recta,Potentilla recta subsp. recta,Potentilla recta
369066,Potentilla reptans proles lanata (Lange) Th.Wolf,Potentilla reptans L.,Potentilla reptans L.,Potentilla reptans L.,Potentilla reptans,Potentilla reptans var. reptans,Potentilla reptans
369105,Potentilla concinna var. modesta (Rydb.) S.L.Welsh & B.C.Johnst.,Potentilla rubricaulis Lehm.,Potentilla rubricaulis Lehm.,Potentilla rubricaulis Lehm.,Potentilla rubricaulis,Potentilla modesta Rydb.,Potentilla modesta
369108,Potentilla rubricaulis var. paucijuga (Rydb.) Soják,Potentilla rubricaulis Lehm.,Potentilla rubricaulis Lehm.,Potentilla rubricaulis Lehm.,Potentilla rubricaulis,Potentilla paucijuga Rydb.,Potentilla paucijuga
369111,Potentilla rubripes var. saximontana (Rydb.) Th.Wolf,Potentilla rubricaulis Lehm.,Potentilla rubricaulis Lehm.,Potentilla rubricaulis Lehm.,Potentilla rubricaulis,Potentilla saximontana Rydb.,Potentilla saximontana
369112,Potentilla saximontana Rydb.,Potentilla rubricaulis Lehm.,Potentilla rubricaulis Lehm.,Potentilla rubricaulis Lehm.,Potentilla rubricaulis,Potentilla saximontana Rydb.,Potentilla saximontana
369113,Potentilla modesta Rydb.,Potentilla rubricaulis Lehm.,Potentilla rubricaulis Lehm.,Potentilla rubricaulis Lehm.,Potentilla rubricaulis,Potentilla modesta Rydb.,Potentilla modesta
369115,Potentilla pensylvanica var. paucijuga (Rydb.) S.L.Welsh & B.C.Johnst.,Potentilla rubricaulis Lehm.,Potentilla rubricaulis Lehm.,Potentilla rubricaulis Lehm.,Potentilla rubricaulis,Potentilla paucijuga Rydb.,Potentilla paucijuga
369116,Potentilla paucijuga Rydb.,Potentilla rubricaulis Lehm.,Potentilla rubricaulis Lehm.,Potentilla rubricaulis Lehm.,Potentilla rubricaulis,Potentilla paucijuga Rydb.,Potentilla paucijuga
369471,Pygeum tokangpengii Merr.,Prunus arborea var. montana (Hook.f.) Kalkman,Prunus arborea var. montana (Hook.f.) Kalkman,Prunus arborea var. montana (Hook.f.) Kalkman,Prunus arborea,Prunus topengii (Merr.) J.Wen & L.Zhao,Prunus topengii
369472,Pygeum topengii Merr.,Prunus arborea var. montana (Hook.f.) Kalkman,Prunus arborea var. montana (Hook.f.) Kalkman,Prunus arborea var. montana (Hook.f.) Kalkman,Prunus arborea,Prunus topengii (Merr.) J.Wen & L.Zhao,Prunus topengii
369672,Prunus avium subsp. duracina (L.) Schübl. & G.Martens,Prunus cerasus L.,Prunus cerasus L.,Prunus cerasus L.,Prunus cerasus,Prunus avium (L.) L.,Prunus avium
369764,Cerasus avium subsp. duracina (L.) Janch.,Prunus cerasus L.,Prunus cerasus L.,Prunus cerasus L.,Prunus cerasus,Prunus avium (L.) L.,Prunus avium
369948,Cerasus incana var. velutina Browicz,Prunus incana (Pall.) Batsch,Prunus incana (Pall.) Batsch,Prunus incana (Pall.) Batsch,Prunus incana,"Prunus alidagensis Erol, Ciftci & Yaprak",Prunus alidagensis
370452,Prunus serrulata subf. albida Miyoshi,Prunus serrulata Lindl.,Prunus serrulata Lindl.,Prunus serrulata Lindl.,Prunus serrulata,Prunus × lannesiana (Carrière) E.H.Wilson,Prunus × lannesiana
370502,Prunus serrulata f. spiralis Miyoshi,Prunus serrulata Lindl.,Prunus serrulata Lindl.,Prunus serrulata Lindl.,Prunus serrulata,Prunus × lannesiana (Carrière) E.H.Wilson,Prunus × lannesiana
370996,Rosa sepium var. klukii (Besser) Rapin ex Reut.,Rosa balsamica Besser,Rosa balsamica Besser,Rosa balsamica Besser,Rosa balsamica,Rosa rubiginosa L.,Rosa rubiginosa
371154,Rosa klukii Besser,Rosa balsamica Besser,Rosa balsamica Besser,Rosa balsamica Besser,Rosa balsamica,Rosa rubiginosa L.,Rosa rubiginosa
371402,Rosa lyellii Lindl.,Rosa clinophylla Thory,Rosa clinophylla Thory,Rosa clinophylla Thory,Rosa clinophylla,Rosa lyellii Lindl.,Rosa lyellii
371403,Rosa lyellii var. lindleyi Regel,Rosa clinophylla Thory,Rosa clinophylla Thory,Rosa clinophylla Thory,Rosa clinophylla,Rosa lyellii Lindl.,Rosa lyellii
371404,Rosa lyellii var. tomentosa Regel,Rosa clinophylla Thory,Rosa clinophylla Thory,Rosa clinophylla Thory,Rosa clinophylla,Rosa lyellii Lindl.,Rosa lyellii
371459,Rosa reuteri var. implexa (Gren.) Wolley-Dod,Rosa dumalis Bechst.,Rosa dumalis Bechst.,Rosa dumalis Bechst.,Rosa dumalis,Rosa × implexa Gren.,Rosa × implexa
371471,Rosa dumetorum subvar. implexa (Gren.) Nyman,Rosa dumalis Bechst.,Rosa dumalis Bechst.,Rosa dumalis Bechst.,Rosa dumalis,Rosa × implexa Gren.,Rosa × implexa
371547,Rosa reuteri f. subcollina Christ,Rosa dumalis Bechst.,Rosa dumalis Bechst.,Rosa dumalis Bechst.,Rosa dumalis,Rosa corymbifera Borkh.,Rosa corymbifera
371693,Rosa afzeliana subsp. subcollina (Christ) R.Keller,Rosa dumalis Bechst.,Rosa dumalis Bechst.,Rosa dumalis Bechst.,Rosa dumalis,Rosa corymbifera Borkh.,Rosa corymbifera
371998,Rosa elliptica subvar. vetteri (Favrat) R.Keller,Rosa inodora Fr.,Rosa inodora Fr.,Rosa inodora Fr.,Rosa inodora,Rosa × vetteri Favrat,Rosa × vetteri
372412,Rosa pouzinii var. almeriensis (Rouy) C.Vicioso,Rosa pouzinii Tratt.,Rosa pouzinii Tratt.,Rosa pouzinii Tratt.,Rosa pouzinii,Rosa × almeriensis Rouy,Rosa × almeriensis
372416,Rosa pouzinii var. histricosa (Crép.) Rouy ex C.Vicioso,Rosa pouzinii Tratt.,Rosa pouzinii Tratt.,Rosa pouzinii Tratt.,Rosa pouzinii,Rosa × andegavensis Bastard,Rosa × andegavensis
372466,Rosa sepium var. almeriensis (Rouy) Nyman,Rosa pouzinii Tratt.,Rosa pouzinii Tratt.,Rosa pouzinii Tratt.,Rosa pouzinii,Rosa × almeriensis Rouy,Rosa × almeriensis
372647,Rosa rubiginosa subsp. columnifera Schwertschl.,Rosa rubiginosa L.,Rosa rubiginosa L.,Rosa rubiginosa L.,Rosa rubiginosa,Rosa × bigeneris Duffort ex Rouy,Rosa × bigeneris
372729,Rosa rubiginosa var. jundzilliana (Besser) Schmalh.,Rosa rubiginosa L.,Rosa rubiginosa L.,Rosa rubiginosa L.,Rosa rubiginosa,Rosa marginata Wallr.,Rosa marginata
373095,Rosa tomentosa var. farinulenta (Crép.) Nyman,Rosa tomentosa Sm.,Rosa tomentosa Sm.,Rosa tomentosa Sm.,Rosa tomentosa,Rosa × scabriuscula Winch ex Sm.,Rosa × scabriuscula
373157,Rosa tomentosa var. intermedia Crép.,Rosa tomentosa Sm.,Rosa tomentosa Sm.,Rosa tomentosa Sm.,Rosa tomentosa,Rosa multiflora var. multiflora,Rosa multiflora
373326,Rosa pomifera var. mollis (Sm.) Schinz & R.Keller,Rosa villosa L.,Rosa villosa L.,Rosa villosa L.,Rosa villosa,Rosa mollis Sm.,Rosa mollis
373585,Rubus affinis lentiginosus (Lees) Bab.,Rubus affinis Weihe & Nees,Rubus affinis Weihe & Nees,Rubus affinis Weihe & Nees,Rubus affinis,Rubus lentiginosus Lees,Rubus lentiginosus
373644,Rubus apetalus f. pyramidalis Gust.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus,Rubus adolfi-friederici Engl.,Rubus adolfi-friederici
373647,Rubus apetalus var. grossoserratus Hauman,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus,Rubus adolfi-friederici Engl.,Rubus adolfi-friederici
373648,Rubus chiovendae Gust.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus,Rubus quartinianus A.Rich.,Rubus quartinianus
373649,Rubus arabicus var. schimperi Focke ex Gust.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus,Rubus quartinianus A.Rich.,Rubus quartinianus
373650,Rubus assaortinus Chiov.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus,Rubus quartinianus A.Rich.,Rubus quartinianus
373653,Rubus interjungens Gust.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus,Rubus exsuccus Steud. ex A.Rich.,Rubus exsuccus
373654,Rubus gortanii Chiov.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus,Rubus quartinianus A.Rich.,Rubus quartinianus
373655,Rubus exsuccus Steud. ex A.Rich.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus,Rubus exsuccus Steud. ex A.Rich.,Rubus exsuccus
373656,Rubus exsuccus var. erythraeus Fiori,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus,Rubus quartinianus A.Rich.,Rubus quartinianus
373657,Rubus quartinianus A.Rich.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus,Rubus quartinianus A.Rich.,Rubus quartinianus
373658,Rubus quartinianus var. hararensis Engl. ex Gust.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus,Rubus adolfi-friederici Engl.,Rubus adolfi-friederici
373659,Rubus quartinianus var. pappianus Gust.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus,Rubus quartinianus A.Rich.,Rubus quartinianus
373660,Rubus pinnatiformis Gust.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus,Rubus adolfi-friederici Engl.,Rubus adolfi-friederici
373661,Rubus petalabigens Gust.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus,Rubus quartinianus A.Rich.,Rubus quartinianus
373662,Rubus petitianus A.Rich.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus Poir.,Rubus apetalus,Rubus quartinianus A.Rich.,Rubus quartinianus
373717,Rubus babingtonii var. gallicus Sudre,Rubus babingtonii T.B.Salter,Rubus babingtonii T.B.Salter,Rubus babingtonii T.B.Salter,Rubus babingtonii,Rubus phaeocarpus W.C.R.Watson,Rubus phaeocarpus
373807,Rubus caesius var. acheruntinus (Ten.) Focke,Rubus caesius L.,Rubus caesius L.,Rubus caesius L.,Rubus caesius,Rubus × acheruntinus (Ten.) Ten.,Rubus × acheruntinus
373809,Rubus caesius var. agrestis Weihe & Nees,Rubus caesius L.,Rubus caesius L.,Rubus caesius L.,Rubus caesius,Rubus × acheruntinus (Ten.) Ten.,Rubus × acheruntinus
373909,Rubus antennifer Hook.f.,Rubus caesius L.,Rubus caesius L.,Rubus caesius L.,Rubus caesius,Rubus antennifer Hook.f.,Rubus antennifer
374159,Rubus davidianus Kuntze,Rubus crataegifolius Bunge,Rubus crataegifolius Bunge,Rubus crataegifolius Bunge,Rubus crataegifolius,Rubus lambertianus var. lambertianus,Rubus lambertianus
374339,Rubus thyrsoideus subsp. fragrans Focke,Rubus flaccidus P.J.Müll.,Rubus flaccidus P.J.Müll.,Rubus flaccidus P.J.Müll.,Rubus flaccidus,Rubus dahmsianus G.H.Loos,Rubus dahmsianus
374442,Rubus godronii var. confusus (Ripart ex Genev.) Sudre,Rubus godronii Lecoq & Lamotte,Rubus godronii Lecoq & Lamotte,Rubus godronii Lecoq & Lamotte,Rubus godronii,Rubus ulmifolius Schott,Rubus ulmifolius
374480,Rubus gratus var. microphyllus (Frid. & Gelert) H.E.Weber,Rubus gratus Focke,Rubus gratus Focke,Rubus gratus Focke,Rubus gratus,Rubus sciocharis (Sudre) Kinscher,Rubus sciocharis
375018,Rubus myricae var. virescens G.Braun,Rubus myricae Focke,Rubus myricae Focke,Rubus myricae Focke,Rubus myricae,Rubus pervirescens Sudre,Rubus pervirescens
375186,Rubus pyramidalis var. transiens Sudre,Rubus pampinosus Lees,Rubus pampinosus Lees,Rubus pampinosus Lees,Rubus pampinosus,Rubus favonii W.C.R.Watson,Rubus favonii
375188,Rubus favonii W.C.R.Watson,Rubus pampinosus Lees,Rubus pampinosus Lees,Rubus pampinosus Lees,Rubus pampinosus,Rubus favonii W.C.R.Watson,Rubus favonii
375224,Rubus serpens proles stramineus (Boulay) Boulay,Rubus perplexus P.J.Müll. ex Wirtg.,Rubus perplexus P.J.Müll. ex Wirtg.,Rubus perplexus P.J.Müll. ex Wirtg.,Rubus perplexus,Rubus rivularis Wirtg. & P.J.Müll.,Rubus rivularis
375230,Rubus serpens var. typicus Beck,Rubus perplexus P.J.Müll. ex Wirtg.,Rubus perplexus P.J.Müll. ex Wirtg.,Rubus perplexus P.J.Müll. ex Wirtg.,Rubus perplexus,Rubus serpens Weihe ex Lej. & Courtois,Rubus serpens
375253,Rubus madagascarius Gust.,Rubus pinnatus Willd.,Rubus pinnatus Willd.,Rubus pinnatus Willd.,Rubus pinnatus,Rubus madagascarius Gust.,Rubus madagascarius
375270,Rubus serpens subsp. longipes (Boulay) Boulay,Rubus perplexus P.J.Müll. ex Wirtg.,Rubus perplexus P.J.Müll. ex Wirtg.,Rubus perplexus P.J.Müll. ex Wirtg.,Rubus perplexus,Rubus glandulosus Bellardi,Rubus glandulosus
375288,Rubus serpens var. leptopetalus (Focke ex Gremli) Sudre,Rubus perplexus P.J.Müll. ex Wirtg.,Rubus perplexus P.J.Müll. ex Wirtg.,Rubus perplexus P.J.Müll. ex Wirtg.,Rubus perplexus,Rubus chlorostachys P.J.Müll.,Rubus chlorostachys
375298,Rubus serpens var. chlorostachys (P.J.Müll.) Sudre,Rubus perplexus P.J.Müll. ex Wirtg.,Rubus perplexus P.J.Müll. ex Wirtg.,Rubus perplexus P.J.Müll. ex Wirtg.,Rubus perplexus,Rubus chlorostachys P.J.Müll.,Rubus chlorostachys
375334,Rubus subulatus Welw. ex Focke,Rubus pinnatus Willd.,Rubus pinnatus Willd.,Rubus pinnatus Willd.,Rubus pinnatus,Rubus kingaensis Engl.,Rubus kingaensis
375338,Rubus kingaensis Engl.,Rubus pinnatus Willd.,Rubus pinnatus Willd.,Rubus pinnatus Willd.,Rubus pinnatus,Rubus kingaensis Engl.,Rubus kingaensis
375342,Rubus pinnatus subsp. afrotropicus Engl.,Rubus pinnatus Willd.,Rubus pinnatus Willd.,Rubus pinnatus Willd.,Rubus pinnatus,Rubus kingaensis Engl.,Rubus kingaensis
375343,Rubus pinnatus subvar. concolor Hauman,Rubus pinnatus Willd.,Rubus pinnatus Willd.,Rubus pinnatus Willd.,Rubus pinnatus,Rubus kingaensis Engl.,Rubus kingaensis
